"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 13, 2015","152.79","154.80","156.84","151.76","1.93M","-0.83%"
"Aug 14, 2015","159.34","153.60","159.74","153.11","1.90M","4.29%"
"Aug 17, 2015","158.12","160.00","160.63","156.70","936.18K","-0.77%"
"Aug 18, 2015","157.20","159.00","160.00","156.41","956.85K","-0.58%"
"Aug 19, 2015","154.89","159.80","159.80","154.40","1.01M","-1.47%"
"Aug 20, 2015","143.88","155.00","155.26","140.86","4.73M","-7.11%"
"Aug 21, 2015","138.30","142.00","142.00","136.02","4.44M","-3.88%"
"Aug 24, 2015","125.82","132.20","132.20","118.00","5.20M","-9.02%"
"Aug 25, 2015","135.99","128.82","136.70","127.55","4.39M","8.08%"
"Aug 26, 2015","136.34","136.00","138.81","132.62","2.85M","0.26%"
"Aug 27, 2015","137.48","140.44","141.00","133.91","2.85M","0.84%"
"Aug 28, 2015","135.23","139.04","140.29","132.11","3.30M","-1.64%"
"Aug 31, 2015","137.90","134.24","138.79","134.24","1.61M","1.97%"
"Sep 01, 2015","133.28","135.61","135.98","130.71","3.29M","-3.35%"
"Sep 02, 2015","131.95","134.62","135.40","130.43","2.75M","-1.00%"
"Sep 03, 2015","134.25","133.40","135.31","132.29","5.16M","1.74%"
"Sep 04, 2015","129.27","132.44","133.20","127.00","3.07M","-3.71%"
"Sep 07, 2015","130.06","129.80","131.31","128.27","1.86M","0.61%"
"Sep 08, 2015","139.20","131.10","140.00","130.70","4.62M","7.03%"
"Sep 09, 2015","143.10","143.40","144.60","142.00","2.30M","2.80%"
"Sep 10, 2015","142.63","138.31","144.00","137.60","2.08M","-0.33%"
"Sep 11, 2015","142.29","143.40","145.19","140.90","1.62M","-0.24%"
"Sep 14, 2015","146.28","142.92","146.82","141.20","1.93M","2.80%"
"Sep 15, 2015","145.87","146.80","148.20","145.20","2.03M","-0.28%"
"Sep 16, 2015","151.67","147.54","152.07","147.00","2.56M","3.98%"
"Sep 18, 2015","154.04","153.20","155.50","153.00","2.04M","1.56%"
"Sep 21, 2015","153.75","152.42","154.50","151.10","1.81M","-0.19%"
"Sep 22, 2015","146.62","154.60","155.00","144.60","2.84M","-4.64%"
"Sep 23, 2015","147.70","144.60","148.75","142.93","2.56M","0.74%"
"Sep 24, 2015","144.18","147.63","148.77","143.60","2.04M","-2.38%"
"Sep 28, 2015","145.95","145.00","148.20","144.00","1.97M","1.23%"
"Sep 29, 2015","147.65","144.42","149.80","140.56","5.22M","1.16%"
"Sep 30, 2015","145.92","149.07","150.82","144.76","2.44M","-1.17%"
"Oct 01, 2015","145.66","146.96","147.95","143.02","2.51M","-0.18%"
"Oct 05, 2015","150.12","146.60","150.56","146.60","1.48M","3.06%"
"Oct 06, 2015","148.81","150.12","151.34","147.35","1.87M","-0.87%"
"Oct 07, 2015","147.40","148.80","149.18","146.80","1.34M","-0.95%"
"Oct 08, 2015","145.72","146.60","147.20","144.40","1.48M","-1.14%"
"Oct 09, 2015","145.04","146.60","148.40","144.10","1.54M","-0.47%"
"Oct 12, 2015","144.84","146.00","147.30","144.15","1.26M","-0.14%"
"Oct 13, 2015","146.76","145.00","147.20","144.90","1.60M","1.33%"
"Oct 14, 2015","147.70","147.00","148.50","146.02","905.40K","0.64%"
"Oct 15, 2015","151.80","148.60","152.08","148.38","1.39M","2.78%"
"Oct 16, 2015","154.62","152.00","154.81","150.34","1.53M","1.86%"
